STEM_Student_ID,NOTIONAL_NVQ_LEVEL_CODE,LEARNING_AIM_TYPE_DESC,PLP main qual type
07042795,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07042796,3,Certificate,Technical Certificate Level 3
07042987,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07042988,E,Certificate,Entry Level 3
07043158,2,Certificate,All other graded level 2 quals
07043159,2,Certificate,All other graded level 2 quals
07043199,3,Certificate,Technical Certificate Level 3
07043263,2,NVQ,NVQ Level 2
07043320,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07043323,1,Certificate,All other graded level 1 quals
07043329,E,Other,Technical Certificate Level 2
07043370,2,Other,All other graded level 2 quals
07043372,2,Certificate,All other graded level 2 quals
07043412,3,Diploma,CACHE Dip
07043456,2,NVQ,Technical Certificate Level 2
07043473,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07043524,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07043527,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07043602,2,Certificate,All other graded level 2 quals
07043629,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07043662,3,Certificate,All other graded level 3 quals
07043689,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07043749,1,NVQ,NVQ Level 1
07043756,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07043781,2,First Certificate,CACHE Level 2
07043806,E,Other,Entry Level 3
07043808,E,Certificate,Entry Level 1
07043894,X,Other,Entry Level 3
07043895,2,NVQ,Technical Certificate Level 2
07043898,2,NVQ,Technical Certificate Level 2
07043987,2,Certificate,All other graded level 2 quals
07044045,2,Certificate,All other graded level 2 quals
07044080,3,Edexcel National Diploma (new syllabus),Technical Certificate Level 2
07044136,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07044150,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07044171,3,Certificate,All other graded level 3 quals
07044227,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07044260,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07044270,2,Certificate,All other graded level 2 quals
07044272,2,Diploma,All other graded level 2 quals
07044277,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07044285,4,HNC,Level 4 and above
07044288,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07044315,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07044336,X,Non Council funded studies,Level 4 and above
07044338,2,Certificate,All other graded level 2 quals
07044417,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07044447,4,HNC,Level 4 and above
07044464,2,NVQ,NVQ Level 2
07044520,2,Certificate,All other graded level 2 quals
07044557,3,Diploma,All other graded level 3 quals
07044559,2,Certificate,All other graded level 2 quals
07044593,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07044604,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07044619,3,Certificate,Technical Certificate Level 3
07044700,2,Edexcel First Diploma (new syllabus),Technical Certificate Level 2
07044751,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07044778,3,Certificate,Technical Certificate Level 3
07044935,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07044941,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07044987,2,Diploma,All other graded level 2 quals
07045021,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07045070,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07045085,1,Certificate,All other graded level 1 quals
07045200,1,Diploma,All other graded level 1 quals
07045204,2,Diploma,All other graded level 2 quals
07045210,1,Certificate,All other graded level 1 quals
07045225,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07045340,2,Diploma,All other graded level 2 quals
07045388,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07045403,2,Certificate,Technical Certificate Level 3
07045409,1,Foundation Award,All other graded level 1 quals
07045414,3,Access to Higher Education Diploma (from 2007),Access to HE
07045421,1,Certificate,All other graded level 1 quals
07045460,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07045470,2,Certificate,All other graded level 2 quals
07045501,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07045518,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07045525,2,Diploma,All other graded level 2 quals
07045568,X,Non Council funded studies,Level 4 and above
07045592,4,Diploma,Level 4 and above
07045631,4,Diploma,Level 4 and above
07045780,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07045823,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07045910,4,HNC,Level 4 and above
07045917,X,Other,All Other Non-graded Level 2 Quals
07045919,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07045921,3,Certificate,All other graded level 3 quals
07045943,3,Certificate,Technical Certificate Level 3
07046065,4,Diploma,Level 4 and above
07046095,2,Diploma,All other graded level 2 quals
07046101,2,Diploma,All other graded level 2 quals
07046106,3,Access Certificate,Access to HE
07046128,2,Certificate,All other graded level 2 quals
07046151,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07046193,2,Certificate,Technical Certificate Level 2
07046211,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07046222,3,Diploma,All other graded level 3 quals
07046227,E,Certificate,Entry Level 3
07046228,3,GCE AS level,A Levels
07046236,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07046260,3,Certificate,Technical Certificate Level 3
07046275,2,NVQ,NVQ Level 2
07046297,1,Diploma,All other graded level 1 quals
07046302,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07046326,2,NVQ,NVQ Level 2
07046328,3,GCE AS level,A Levels
07046338,2,Certificate,All other graded level 2 quals
07046360,2,Certificate,All other graded level 2 quals
07046371,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07046430,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07046492,3,Access to Higher Education Diploma (from 2007),Access to HE
07046598,2,Diploma,All other graded level 2 quals
07046813,3,Certificate,All other graded level 3 quals
07046866,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07046871,3,Diploma,CACHE Dip
07046970,2,Certificate,All other graded level 2 quals
07046971,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07047080,3,Access to Higher Education Diploma (from 2007),Access to HE
07047083,3,Diploma,CACHE Dip
07047088,3,Certificate,All other graded level 3 quals
07047094,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07047121,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07047286,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07047302,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07047412,2,Diploma,All other graded level 2 quals
07047483,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07047608,3,Diploma,All other graded level 3 quals
07047700,4,Diploma,Level 4 and above
07047711,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07047769,H,HNC,Level 4 and above
07047789,3,Certificate,All other graded level 3 quals
07047839,2,NVQ,NVQ Level 2
07047872,2,Other,All other graded level 2 quals
07047923,3,Access to Higher Education Diploma (from 2007),Access to HE
07047975,2,Certificate,All other graded level 2 quals
07047980,1,Diploma,All other graded level 1 quals
07048006,X,Non Council funded studies,Unknown
07048066,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07048074,2,Certificate,All other graded level 2 quals
07048088,2,Certificate,All other graded level 2 quals
07048092,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07048133,4,NVQ,Level 4 and above
07048174,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07048185,X,Non Council funded studies,Level 4 and above
07048243,2,Certificate,Technical Certificate Level 3
07048244,2,Certificate,Technical Certificate Level 2
07048247,4,Diploma,Level 4 and above
07048315,2,Diploma,All other graded level 2 quals
07048335,E,Certificate,CACHE Level 2
07048336,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07048365,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07048428,3,Access to Higher Education Diploma (from 2007),Access to HE
07048450,3,Certificate,All other graded level 3 quals
07048463,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07048499,X,Other,Entry Level 3
07048519,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07048696,5,Diploma,Level 4 and above
07048700,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07048704,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07048789,2,Diploma,All other graded level 2 quals
07048834,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07048847,2,Diploma,All other graded level 2 quals
07048849,4,NVQ,Level 4 and above
07048857,3,Certificate,All other graded level 3 quals
07048858,3,Certificate,All other graded level 3 quals
07048868,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07048905,1,NVQ,NVQ Level 1
07048910,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07048912,E,Certificate,Entry Level 3
07048914,1,Certificate,Technical Certificate Level 2
07048915,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07048917,E,Certificate,Entry Level 3
07048935,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07048937,2,NVQ,Technical Certificate Level 2
07048973,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07048994,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07049011,3,Diploma,CACHE Dip
07049013,1,Diploma,All other graded level 1 quals
07049014,3,Diploma,All other graded level 3 quals
07049018,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07049027,1,Diploma,All other graded level 1 quals
07049138,1,NVQ,NVQ Level 1
07049141,E,Certificate,Entry Level 3
07049144,X,Non Council funded studies,
07049151,E,Certificate,Entry Level 3
07049152,3,Diploma,All other graded level 3 quals
07049158,2,Diploma,CACHE Level 2
07049167,1,Other,All other graded level 1 quals
07049169,1,Certificate,All other graded level 1 quals
07049172,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07049173,1,Diploma,All other graded level 1 quals
07049174,E,Certificate,Cache Level 1
07049178,1,Diploma,All other graded level 1 quals
07049179,2,Diploma,All other graded level 2 quals
07049180,1,Diploma,All other graded level 1 quals
07049183,2,Certificate,All other graded level 2 quals
07049229,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07049261,X,Non Council funded studies,Unknown
07049340,3,Access to Higher Education Diploma (from 2007),Access to HE
07049350,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07049385,X,Non Council funded studies,Unknown
07049393,4,Diploma,Level 4 and above
07049416,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07049428,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07049441,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07049445,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07049447,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07049448,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07049452,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07049473,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07049477,3,Diploma,CACHE Dip
07049486,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07049522,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07049524,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07049525,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07049530,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07049532,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07049542,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07049580,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07049585,2,Certificate,Technical Certificate Level 2
07049617,E,Other,
07049622,E,Certificate,Entry Level 1
07049625,E,Certificate,Entry Level 3
07049629,E,Certificate,Entry Level 3
07049648,2,NVQ,NVQ Level 2
07049656,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07049659,3,Diploma,All other graded level 3 quals
07049666,2,Certificate,Technical Certificate Level 3
07049680,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07049688,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07049715,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07049724,3,Access to Higher Education Diploma (from 2007),Access to HE
07049744,E,Certificate,Entry Level 3
07049745,2,NVQ,Technical Certificate Level 2
07049747,E,Certificate,Entry Level 3
07049751,E,Certificate,Entry Level 3
07049752,1,Certificate,All other graded level 1 quals
07049756,E,Certificate,Entry Level 3
07049757,1,NVQ,NVQ Level 1
07049759,2,NVQ,NVQ Level 2
07049769,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07049781,2,Diploma,All other graded level 2 quals
07049790,3,Certificate,Technical Certificate Level 3
07049792,3,Certificate,Technical Certificate Level 3
07049793,3,Certificate,Technical Certificate Level 3
07049795,1,NVQ,NVQ Level 1
07049811,1,NVQ,NVQ Level 1
07049817,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07049849,2,NVQ,NVQ Level 2
07049858,2,Diploma,All other graded level 2 quals
07049871,2,Certificate,All other graded level 2 quals
07049881,X,Non Council funded studies,Unknown
07049888,3,Certificate,All other graded level 3 quals
07049916,2,Certificate,All other graded level 2 quals
07049943,1,Certificate,All other graded level 1 quals
07049966,X,Non Council funded studies,Unknown
07049980,E,Certificate,Entry Level 3
07049985,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07049988,3,Diploma,All other graded level 3 quals
07050079,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07050089,2,Edexcel First Diploma (new syllabus),YUP
07050093,X,Other,Entry Level 3
07050094,E,Certificate,Entry Level 1
07050097,E,Certificate,Entry Level 3
07050105,E,Other,Entry Level 3
07050109,1,Diploma,All other graded level 1 quals
07050112,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07050120,E,Certificate,Entry Level 3
07050122,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07050125,1,Diploma,All other graded level 1 quals
07050129,E,Certificate,Entry Level 3
07050130,2,Diploma,All other graded level 2 quals
07050137,3,Certificate,All other graded level 3 quals
07050174,X,Other,Unknown
07050185,2,Diploma,All other graded level 2 quals
07050187,1,Certificate,All other graded level 1 quals
07050199,X,Non Council funded studies,Level 4 and above
07050202,E,Certificate,Entry Level 3
07050203,1,Diploma,All other graded level 1 quals
07050215,X,Other,Entry Level 3
07050216,2,Certificate,Technical Certificate Level 3
07050217,1,Diploma,All other graded level 1 quals
07050221,1,Diploma,All other graded level 1 quals
07050222,2,Certificate,All other graded level 2 quals
07050227,X,Non Council funded studies,Level 4 and above
07050234,2,Diploma,All other graded level 2 quals
07050241,2,Diploma,All other graded level 2 quals
07050243,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07050244,2,Diploma,All other graded level 2 quals
07050248,4,NVQ,Level 4 and above
07050296,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07050303,3,Diploma,All other graded level 3 quals
07050313,2,Certificate,Technical Certificate Level 2
07050315,2,Other,All other graded level 2 quals
07050318,X,Non Council funded studies,Unknown
07050326,E,Certificate,Entry Level 3
07050390,3,GCE AS level,A Levels
07050421,2,GCSE,GCSEs
07050422,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07050425,2,GCSE,GCSEs
07050428,2,Diploma,All other graded level 2 quals
07050436,2,GCSE,Technical Certificate Level 3
07050524,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07050532,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07050574,2,Certificate,Technical Certificate Level 3
07050581,1,Introductory Diploma,BTEC Intro Diploma & Cert
07050586,3,Certificate,All other graded level 3 quals
07050606,2,Certificate,All other graded level 2 quals
07050623,3,Diploma,CACHE Dip
07050670,1,NVQ,NVQ Level 1
07050673,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07050679,E,Certificate,Entry Level 3
07050691,E,Certificate,Entry Level 1
07050697,E,Other,Entry Level 3
07050706,E,Certificate,Entry Level 3
07050714,4,HNC,Level 4 and above
07050746,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07050748,2,Diploma,All other graded level 2 quals
07050749,E,Other,Entry Level 3
07050764,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07050776,E,Certificate,Entry Level 3
07050782,1,NVQ,NVQ Level 1
07050783,1,Introductory Diploma,BTEC Intro Diploma & Cert
07050785,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07050791,2,Diploma,All other graded level 2 quals
07050815,X,Non Council funded studies,Level 4 and above
07050825,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07050829,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07050863,3,Diploma,All other graded level 3 quals
07050874,2,Diploma,All other graded level 2 quals
07050875,E,Certificate,
07050892,2,Certificate,Technical Certificate Level 2
07050906,2,Certificate,Technical Certificate Level 3
07050908,3,Certificate,All other graded level 3 quals
07050918,X,Non Council funded studies,Unknown
07050943,2,Diploma,Cache Level 1
07050980,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07051026,3,GCE AS level,A Levels
07051105,2,Diploma,All other graded level 2 quals
07051113,2,Certificate,All other graded level 2 quals
07051148,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07051317,E,Certificate,Entry Level 3
07051351,4,HNC,Level 4 and above
07051395,2,Certificate,All other graded level 2 quals
07051398,1,Other,All other graded level 1 quals
07051405,3,GCE AS level,A Levels
07051452,1,NVQ,NVQ Level 1
07051456,3,GCE AS level,A Levels
07051460,E,Certificate,Entry Level 3
07051465,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07051516,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07051549,2,Certificate,All other graded level 2 quals
07051556,3,Diploma,All other graded level 3 quals
07051581,2,Certificate,All other graded level 2 quals
07051587,4,Diploma,Level 4 and above
07051621,4,HNC,Level 4 and above
07051723,X,Other,Entry Level 3
07051788,1,Diploma,All other graded level 1 quals
07051820,1,Diploma,All other graded level 1 quals
07051873,2,Diploma,All other graded level 2 quals
07051927,1,Introductory Diploma,BTEC Intro Diploma & Cert
07052238,4,HNC,Level 4 and above
07052279,1,NVQ,NVQ Level 1
07052280,1,Certificate,All other graded level 1 quals
07052293,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07052318,X,Other,Entry Level 3
07052322,X,Other,Entry Level 3
07052326,E,Certificate,Entry Level 1
07052337,2,Certificate,All other graded level 2 quals
07052341,3,GCE AS level,A Levels
07052358,3,Certificate,All other graded level 3 quals
07052367,5,Diploma,Level 4 and above
07052401,2,Diploma,All other graded level 2 quals
07052403,E,Certificate,Entry Level 3
07052431,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07052444,X,Non Council funded studies,Unknown
07052453,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07052464,2,Diploma,All other graded level 2 quals
07052511,X,Other,Entry Level 3
07052531,E,Other,Entry Level 3
07052541,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07052543,2,Diploma,All other graded level 2 quals
07052549,2,Certificate,Technical Certificate Level 3
07052652,3,Certificate,All other graded level 3 quals
07052678,2,Certificate,All other graded level 2 quals
07052744,2,Diploma,All other graded level 2 quals
07052746,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07052749,E,Certificate,Entry Level 3
07052868,3,Access to Higher Education Diploma (from 2007),Access to HE
07052882,E,Certificate,Entry Level 3
07052909,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07052949,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07052978,3,Certificate,All other graded level 3 quals
07052990,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07053015,3,Edexcel National Certificate (new syllabus),Technical Certificate Level 3
07053028,2,Diploma,All other graded level 2 quals
07053033,2,Certificate,All other graded level 2 quals
07053036,2,Diploma,All other graded level 2 quals
07053040,3,Diploma,All other graded level 3 quals
07053058,E,Other,Entry Level 3
07053074,4,NVQ,Level 4 and above
07053127,2,Certificate,All other graded level 2 quals
07053192,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07053200,1,Certificate,All other graded level 1 quals
07053202,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07053203,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07053208,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07053210,1,Certificate,All other graded level 1 quals
07053216,4,HNC,Level 4 and above
07053256,3,Diploma,CACHE Dip
07053329,3,Access to Higher Education Diploma (from 2007),Access to HE
07053544,4,HNC,Level 4 and above
07053564,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07053605,4,Diploma,Level 4 and above
07053722,X,Non Council funded studies,Unknown
07053748,2,Certificate,Technical Certificate Level 2
07053794,2,Certificate,Technical Certificate Level 3
07053826,2,Certificate,All other graded level 2 quals
07053919,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07053923,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07053927,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07053929,2,Certificate,All other graded level 2 quals
07053936,2,Edexcel First Diploma (new syllabus),CACHE Level 2
07053975,2,Certificate,All other graded level 2 quals
07054004,1,Certificate,All other graded level 1 quals
07054012,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07054019,4,HNC,Level 4 and above
07054043,E,Certificate,Entry Level 1
07054053,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07054058,2,Diploma,All other graded level 2 quals
07054077,2,Diploma,All other graded level 2 quals
07054078,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07054162,E,Other,Entry Level 3
07054181,1,Diploma,Technical Certificate Level 2
07054191,2,Certificate,All other graded level 2 quals
07054246,2,NVQ,NVQ Level 2
07054287,3,Access to Higher Education Diploma (from 2007),Access to HE
07054418,2,Diploma,All other graded level 2 quals
07054542,2,Certificate,Technical Certificate Level 3
07054543,4,Diploma,Technical Certificate Level 3
07054547,2,Certificate,All other graded level 2 quals
07054550,X,Non Council funded studies,Unknown
07054570,2,NVQ,NVQ Level 2
07054662,2,Certificate,All other graded level 2 quals
07054773,2,Certificate,All other graded level 2 quals
07054780,1,NVQ/GNVQ Key Skills Unit,Technical Certificate Level 3
07054801,2,Certificate,All other graded level 2 quals
07054831,2,Certificate,All other graded level 2 quals
07054835,4,NVQ,Level 4 and above
07054948,2,Certificate,All other graded level 2 quals
07054949,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07055021,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07055035,H,HNC,Level 4 and above
07055100,3,Edexcel National Diploma (new syllabus),Technical Certificate Level 3
07055105,2,Diploma,All other graded level 2 quals
07055174,3,GCE AS level,A Levels
07055257,4,Diploma,Level 4 and above
07055270,X,Non Council funded studies,Level 4 and above
07055383,X,Non Council funded studies,Level 4 and above
07055441,2,Certificate,All other graded level 2 quals
07055554,3,Access to Higher Education Diploma (from 2007),Access to HE
07055563,3,Certificate,All other graded level 3 quals
07055564,H,HNC,Level 4 and above
07055578,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07055612,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07055699,3,Access to Higher Education Diploma (from 2007),Access to HE
07055732,2,Certificate,All other graded level 2 quals
07055771,2,Diploma,All other graded level 2 quals
07055883,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07055991,3,Diploma,All other graded level 3 quals
07056005,1,Certificate,Cache Level 1
07056006,2,Certificate,All other graded level 2 quals
07056048,2,First Diploma,BTEC First Dip
07056082,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07056092,3,Diploma,All other graded level 3 quals
07056137,X,Other,Unknown
07056156,3,Access to Higher Education Diploma (from 2007),Access to HE
07056187,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07056226,X,Non Council funded studies,Unknown
07056268,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07056277,1,NVQ,NVQ Level 1
07056384,2,Certificate,All other graded level 2 quals
07056487,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07056517,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07056519,2,Diploma,All other graded level 2 quals
07056522,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07056523,2,Certificate,All other graded level 2 quals
07056629,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
07056640,3,Access to Higher Education Diploma (from 2007),Access to HE
07056655,X,Non Council funded studies,Level 4 and above
07056710,3,Certificate,Technical Certificate Level 3
07056734,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07056855,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07056913,1,Diploma,All other graded level 1 quals
07056920,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07057048,2,Certificate,All other graded level 2 quals
07057179,1,Introductory Diploma,BTEC Intro Diploma & Cert
07057289,2,Diploma,All other graded level 2 quals
07057401,1,Introductory Diploma,BTEC Intro Diploma & Cert
07057402,2,Certificate,All other graded level 2 quals
07057625,2,Certificate,All other graded level 2 quals
07057635,2,Diploma,All other graded level 2 quals
07057659,2,Diploma,All other graded level 2 quals
07057669,X,Non Council funded studies,Level 4 and above
07057676,3,Edexcel National Diploma (new syllabus),BTEC National Dip
07057847,2,Edexcel First Diploma (new syllabus),BTEC First Dip
07058264,X,Non Council funded studies,Technical Certificate Level 2
07058537,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08050922,2,Diploma,All other graded level 2 quals
08050942,2,Diploma,All other graded level 2 quals
08050970,2,Edexcel First Diploma (new syllabus),Technical Certificate Level 2
08050977,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08050982,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08050990,2,NVQ,NVQ Level 2
08050996,3,Diploma,All other graded level 3 quals
08050997,2,Edexcel First Diploma (new syllabus),BTEC First Dip
08051001,1,NVQ,NVQ Level 1
08051003,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08051008,1,Diploma,Technical Certificate Level 2
08051010,2,Diploma,All other graded level 2 quals
08051011,3,Edexcel National Diploma (new syllabus),Technical Certificate Level 3
08051031,2,Certificate,All other graded level 2 quals
08051033,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08051034,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08051036,2,Certificate,All other graded level 2 quals
08051051,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08051055,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08051088,1,NVQ,NVQ Level 1
08051173,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08051185,2,Diploma,All other graded level 2 quals
08051187,2,Certificate,All other graded level 2 quals
08051297,3,Edexcel National Certificate (new syllabus),BTEC National Certificate
08051319,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08051320,2,Diploma,All other graded level 2 quals
08051329,E,Other,Entry Level 3
08051357,2,Certificate,All other graded level 2 quals
08051368,2,Certificate,Technical Certificate Level 3
08051402,1,Diploma,All other graded level 1 quals
08051413,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08051426,2,Diploma,All other graded level 2 quals
08051434,3,Diploma,All other graded level 3 quals
08051438,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08051457,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08051480,3,Diploma,All other graded level 3 quals
08051487,3,Diploma,All other graded level 3 quals
08051493,2,Certificate,All other graded level 2 quals
08051500,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08051502,3,Diploma,All other graded level 3 quals
08051505,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08051513,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08051522,2,Certificate,Technical Certificate Level 2
08051524,1,Certificate,All other graded level 1 quals
08051530,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08051577,2,Diploma,All other graded level 2 quals
08051578,3,Principal Learning within Diploma (14-19),All other graded level 3 quals
08051599,2,Diploma,All other graded level 2 quals
08051612,3,Diploma,All other graded level 3 quals
08051615,1,Diploma,All other graded level 1 quals
08051617,2,Certificate,All other graded level 2 quals
08051653,2,Certificate,Technical Certificate Level 3
08051654,3,Edexcel National Diploma (new syllabus),BTEC National Dip
08051666,2,Diploma,All other graded level 2 quals
08051679,2,Diploma,All other graded level 2 quals
